dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.0,2.8255657508762253,-0.19437120530649954,-2.613249267046826,-0.01794527852289938
0.045,2.6876107204781086,-0.03714723663762271,-2.7113199528027736,0.060856468962287615
0.049,2.7503923978518796,-0.09934198828862356,-2.660644295854897,0.009593886291641152
0.047,2.7316078902348675,-0.08907907342720059,-2.6101813657385278,-0.03234745106913922
0.053,2.7120776406961387,-0.1143213701380357,-2.5851067736634032,-0.012649496894699979
0.046,2.789662612602817,-0.09841748908494649,-2.7553307085682768,0.06408558505040664
0.046,2.784123267911557,-0.015315103667025794,-2.871487405861914,0.10267924161738289
0.045,2.813674126258809,-0.13539929474314744,-2.633837325069184,-0.04443750644647774
0.046,2.798698597260957,-0.09362739358536193,-2.728619720610356,0.023548516934761017
0.053,2.8350761489371856,-0.20774437123344577,-2.7837166437668324,0.1563848660630928
0.047,2.832182176487368,-0.19614758753142184,-2.709504566936754,0.0734699779808077
0.043,2.789826201622836,-0.014662651164848405,-2.793913199720666,0.01874964926267868
0.051,2.858432087532881,-0.15110086133230496,-2.7501222452212155,0.042791019020639254
0.047,2.920909511930135,-0.2060392919428079,-2.8145532296120734,0.09968300962474602
0.052,2.8460498792060256,-0.22769315124236697,-2.74046876578309,0.12211203781943156
0.044,3.019379673397727,-0.25615739454674685,-2.734988942169438,-0.028233336681542296
0.048,2.889785556967982,-0.2021406726175334,-2.77589676533889,0.08825188098844186
0.046,2.9584004033023614,-0.17655236548048373,-2.803867606149943,0.022019568328065557
0.055,2.9103648242658835,-0.14464757987043034,-2.871659606635287,0.10594236223983398
0.058,2.911920178658371,-0.1985384106344256,-2.6958541850879953,-0.01752758293594977
0.046,2.9960164348347793,-0.13018712666547588,-2.8282494300999663,-0.03757987806933687
0.043,2.900746037573231,-0.25413048338966165,-2.6116343352676,-0.03498121891596967
0.046,2.982240289362621,-0.21298322965751504,-2.77332578253149,0.004068722826384208
0.049,3.0125925843759758,-0.2771675783354623,-2.7267953632120334,-0.008629642828480142
0.047,2.9750636782676807,-0.09128301093015292,-2.787008314420984,-0.09677235291654386
0.05,2.9735829776140665,-0.1596593659476409,-2.7900585609817323,-0.023865050684693273
0.046,2.9114462230705085,-0.14482486391858046,-2.8085166967834234,0.04189533763149568
0.046,3.0225931035427696,-0.24023202013531564,-2.750692518532911,-0.03166856487454272
0.045,2.956547203782941,-0.22233275695209093,-2.7555324438421516,0.021317997011301534
0.049,2.9824410230017766,-0.2700223196046956,-2.828399567797328,0.11598086440024716
0.048,2.9718472618158565,-0.2038777707279525,-2.7220322850300205,-0.04593720605788327
0.046,3.0523667246881776,-0.07446548269374628,-2.8797342619017385,-0.09816698009269272
0.047,2.8625099256247193,-0.07494384951272001,-2.634209249930663,-0.15335682618133575
0.053,2.968407035477605,-0.15267697189787063,-2.7359187836703933,-0.07981127990934075
0.042,3.0320547626040044,-0.19581262523320866,-2.7792069046371988,-0.05703523273359672
0.051,3.080038928571089,-0.24475317008943842,-2.7203654821260095,-0.11492027635564103
0.053,3.0955983236041806,-0.11217605998637921,-2.8834022945216367,-0.10001996909616472
0.045,3.107083130151571,-0.3019994103872126,-2.7040720089494625,-0.10101171081489617
0.047,3.0529905238701462,-0.1752067538248006,-2.9157078720502216,0.03792410200487628
0.045,2.991463178773458,-0.23692019259995564,-2.7199210600939847,-0.03462192607951718
0.051,2.991094602777054,-0.22319751256038936,-2.7229438390062715,-0.04495325121039323
0.044,3.0628910568724557,-0.22835293077264512,-2.7456839558682207,-0.08885417023158994
0.053,3.132781244658586,-0.24421305798910303,-2.880302387774831,-0.00826579889465179
0.044,-3.134422572185158,-0.266120468725422,-2.8409289945494316,-0.0417132717195747
0.05,2.9361154829262683,-0.16412816438543323,-2.8025650771857573,0.030577758644922248
0.047,3.006578242789303,-0.18565274903794013,-2.7928099703822737,-0.028115523369089557
0.052,-3.1396336947741177,-0.22984481145773586,-2.811208333373764,-0.10249846757396938
0.043,3.0175546615518156,-0.17142755785744784,-2.910063555403765,0.06393645170939687
0.05,3.027382060040462,-0.22899224504489327,-2.9002464299547888,0.10185661495921981
0.054,3.0999058173198333,-0.2166610638293578,-2.8367504512229322,-0.04649430226754349
0.044,3.0753511857007507,-0.29359840098578555,-2.6817323053765842,-0.10002047933838064
0.045,3.0128474023292777,-0.20801017491667628,-2.7808750709839236,-0.023962156428677547
0.051,3.01072732460411,-0.08330617959904778,-2.922290312022409,-0.005130832982653238
0.046,3.019221646433724,-0.1674209459271923,-2.867187156207636,0.015386455701104798
0.047,-3.1396032217252747,-0.22576930790509095,-2.8463136302402687,-0.07149914730895238
0.047,3.1042607664915143,-0.2191321060814997,-2.802096749079303,-0.08303191133071111
0.053,2.968294204091648,-0.1726579802644457,-2.8008547865364704,0.005218562709268205
0.047,2.9240879008509477,-0.1365822707873375,-2.7051427176167517,-0.08236291244685834
0.047,3.133615342145373,-0.2875360888739401,-2.8395170542817625,-0.006562198989670788
0.05,3.0198269849154595,-0.17497761041075344,-2.667439596713048,-0.17740977779165795
0.045,-3.1379299066741386,-0.18507747985551787,-2.8397147044601354,-0.12046321618979462
0.05,3.12407791050082,-0.14681495589755747,-2.808560174980469,-0.16870277962279318
0.046,2.897506327727485,-0.2412506553546055,-2.572549883404609,-0.08370578896827062
0.048,2.9491462101018615,-0.09908883759751966,-2.755888234306434,-0.09416913819790795
0.047,2.96534207006805,-0.08878902740274272,-2.812443969868466,-0.06410907279684107
0.058,3.0762247845054302,-0.2476138907353787,-2.889143163770541,0.06053227000048941
0.047,3.0725732595470086,-0.27991169163755036,-2.6975874325037865,-0.09507413540567189
