dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.0,2.7200557180298275,0.1282467215555259,-3.006449238556458,0.15814679897110503
0.057,2.611098330483,-0.014107229301706034,-2.7220676104478865,0.12507650926659228
0.044,2.731922295726072,0.001673907938354126,-2.8263792054503756,0.09278300178594928
0.047,2.751147296124272,0.02166924703480755,-2.6895397318125394,-0.08327681134653989
0.041,2.8086022952266876,0.025107511140599725,-2.844585726830513,0.010875920463225861
0.046,2.710316575845986,0.08457649401228685,-2.7460932876382325,-0.04879978222004014
0.043,2.7329967599315035,0.1665996134998018,-2.8839751600672336,-0.015621213364071723
0.048,2.69633650501347,0.11932080751539416,-2.7922423888652452,-0.02341492366361915
0.04,2.7677590066653477,0.0459155889963174,-2.5994347260052235,-0.21423986965644193
0.043,2.8619806348463337,-0.041669303804924035,-2.6213935579628718,-0.19891777307853795
0.046,2.7200603611251157,0.10438298567111803,-2.6683348835677947,-0.15610846322843885
0.042,2.8030656627223833,0.011483940343677232,-2.6495078195904624,-0.1650417834755981
0.044,2.5578885784117755,0.24924609102301581,-2.8236011945693344,0.01646652513454309
0.043,2.73528239732794,-0.0055967200548204515,-2.5712396348951314,-0.15844604237798818
0.048,2.796710592143909,0.13385083321652758,-2.8905055674145603,-0.040055857945876384
0.05,2.77978752644779,0.04162097367848942,-2.829536486181722,0.008127986055442427
0.037,2.7436253855650636,0.1313185550117224,-2.709476228010835,-0.16546771256595078
0.046,2.8003553646685444,0.021681099390205832,-2.7531594897326364,-0.06887697432611385
0.05,2.7004504088728187,0.20408007853701016,-2.6548037862641807,-0.2497267011456479
0.047,2.834710843500516,0.1506031691871806,-3.0216012578558717,0.03628724516817486
0.039,2.742820898454962,0.15436193494131345,-2.8400237528925008,-0.05715908050377473
0.045,2.72485099871291,0.10615353904520469,-2.750116823030332,-0.08088771472778282
0.045,2.8207145359364265,0.13644711742705468,-2.739356328467579,-0.2178053248959022
0.043,2.785895346113502,0.13856825604428794,-2.9570637715193198,0.03260016936152964
0.044,2.803693403308963,0.16263500910170273,-3.0100052723706825,0.04367685996001644
0.048,2.7881247206157806,0.09070433200553848,-2.813100650652153,-0.06572840196916618
0.045,2.814825222991334,0.06510899563816548,-2.713889964509177,-0.16604425412032278
0.051,2.834845168110945,-0.02833753411611577,-2.681512217912434,-0.12499541608239505
0.089,2.8736350837189986,0.038617821512633335,-2.8518664455237834,-0.060386459707848214
0.062,2.7048573964513607,0.029407094592573874,-2.6853945584315095,-0.048869932612424984
0.064,2.777818073738309,-0.013897855223571108,-2.8604418728592704,0.09652165434453232
0.054,2.6825530786578304,-0.0047551969953048105,-2.6903898429732687,0.012591961310743098
0.051,2.7990737329295285,-0.06656185217134238,-2.871029562717735,0.13851768195954892
0.089,2.781217156367669,-0.16591034196753496,-2.510557414788624,-0.10474939961151003
0.076,2.780248417101727,-0.07681442922901333,-2.968663674839911,0.26522968696719673
0.074,2.682651043971672,0.05952510298358403,-2.79709674706285,0.05492060010759394
0.076,2.7249324956184853,-0.04843804413559389,-2.7602956333574378,0.08380118187454672
0.055,2.6292517267777256,-0.01862124331913188,-2.6842082810334533,0.07357779757485977
0.052,2.621796716981561,0.016251489116658215,-2.9216049405546745,0.28355673445645485
0.053,2.6483636501405052,-0.07127497923263215,-2.810985340825653,0.23389666991777985
0.053,2.6157017004073464,-0.02143466057789636,-2.8110415281923418,0.21677448836289187
0.052,2.796645896650593,-0.08992414545300298,-2.8431675633770603,0.1364458121794703
0.049,2.690026842041295,-0.09438185259508813,-2.888074047607195,0.2924290581609887
0.059,2.7774112853558357,-0.20342115467467262,-2.6789896576645504,0.10499952698338728
0.051,2.803521537318823,-0.1704792135584477,-2.743690132575901,0.11064780881552544
