dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.022,2.5868506085070377,-2.093123027283496,-2.069749072287319,1.5760214910637775
0.028,2.714620090875833,-2.119594713181092,-2.1485630482446627,1.5535376705499213
0.05,2.659991486815289,-2.073123628265433,-2.20354920077345,1.6166813422235935
0.049,2.586053053370149,-2.2504978150481136,-1.9645148540532922,1.6289596157312571
0.047,2.600695587719513,-2.2855794291690765,-2.034255994364301,1.7191398358138645
0.047,2.615303194353612,-2.188907352849143,-2.1505562641473195,1.7241604226428513
0.046,2.6590612391393265,-2.198839976563905,-2.1605724475205217,1.7003511849451
0.051,2.6004375487399845,-2.263423556206379,-2.058299623444596,1.7212856309109907
0.046,2.6194307364934724,-2.2615016042227967,-2.081453613029429,1.7235244807587535
0.048,2.7101736842113553,-2.3431503561746294,-2.1673001607136904,1.800276832676964
0.051,2.5935570494215225,-2.4025892201039074,-1.9610281613741856,1.7700603320565707
0.047,2.6354578311477366,-2.4149243599761543,-2.05318213827546,1.8326486671038777
0.046,2.5744154635655745,-2.319202514371417,-2.0520950179561943,1.7968820687620366
0.05,2.505372938392841,-2.4764262539072464,-1.9150790835177707,1.8861323990321757
0.049,2.5820274238079115,-2.4539284658739158,-1.880187381421251,1.752088423487256
0.045,2.459681324008184,-2.3879719161914386,-1.9350916909266007,1.8633822831098552
0.047,2.5056693486411943,-2.440536684573232,-1.929407938340298,1.8642752742723356
0.052,2.491844357162244,-2.5062938139342807,-1.8715569622511419,1.8860064190231784
0.046,2.4758184048756156,-2.339204066248404,-2.01116030618449,1.8745459675572786
0.052,2.288989076258622,-2.4436078004497204,-1.8433747712603117,1.9979934954514103
0.043,2.3823915753496494,-2.4375443278919593,-1.774349283501592,1.8295020360439016
0.05,2.30188867331059,-2.3871001892426906,-1.8833354575386438,1.9685469734707448
0.049,2.265076003072718,-2.5369157517190186,-1.8033476455782838,2.075187394224584
0.044,2.4589480354297346,-2.4878948467624835,-1.99614221365565,2.025089024988399
0.05,2.3158088930154688,-2.5519355169279136,-1.8080658789068005,2.0441925028192456
0.05,2.1819024681851755,-2.584227141516485,-1.7021714030558655,2.1044960763871754
0.047,2.2496840793383046,-2.568216416223482,-1.6407392168795165,1.9592715537646936
0.046,2.2503537043246955,-2.5385998284212894,-1.7002605553458179,1.9885066794424116
0.052,2.2478834284849483,-2.498813115144572,-1.8335994374311397,2.0845291240907637
0.045,2.192976442502652,-2.4702540477940307,-1.815093129272493,2.092370734563872
0.049,2.267092106304448,-2.5707237020805347,-1.8528067726497401,2.1564383684258273
0.047,2.150872467497249,-2.4793663871427225,-1.7845346005777978,2.113028520223271
0.049,2.113779311215865,-2.447531760581729,-1.8061976977169456,2.139950147082809
0.047,2.1133301665491584,-2.54477590087144,-1.7347664278010246,2.1662121621233066
0.047,2.152387329217913,-2.5991290808784173,-1.7548760412652242,2.2016177929257283
0.048,2.0517536211972316,-2.62323339306559,-1.6226723096890903,2.1941520815574482
0.049,2.161801652564085,-2.5853456442203075,-1.7415354867961377,2.1650794784523604
0.048,2.0936293106153534,-2.537694652080423,-1.7430118410387363,2.1870771825038062
0.052,2.03866970139885,-2.584063726532584,-1.6311312765292767,2.17652530166301
0.045,2.0236207499353123,-2.450676435066015,-1.8006942237582702,2.2277499088889727
0.048,2.145400505805419,-2.6097437385898172,-1.7696031591011943,2.2339463918855924
0.047,2.131649066610003,-2.5213553745411788,-1.7022097803030096,2.0919160882341856
0.047,2.0749380803635944,-2.625107553365187,-1.636902948790395,2.1870724217919872
0.05,2.1645303721844473,-2.591538400750255,-1.6592311306815233,2.086239159247331
0.047,2.0484616450277477,-2.4869675351729525,-1.7257510538984293,2.164256944043634
0.049,2.115955353170759,-2.603598239536554,-1.5670537185430073,2.0546966049088025
0.048,2.1058000793369,-2.5588837029975653,-1.630916509956417,2.084000133617082
0.047,1.9969280589972194,-2.574329788203786,-1.651996452511122,2.229398181717688
0.047,2.067853882835584,-2.6242829104513343,-1.474267571338689,2.030696598954439
0.049,1.9751299127679767,-2.557247246709873,-1.5486595592336012,2.130776893175497
0.05,2.005954794235212,-2.6207741257242967,-1.4616756265498152,2.0764949580388996
0.05,2.0175925126701024,-2.685859231747444,-1.392588105307734,2.0608548243850757
0.046,1.9627518786932356,-2.514701987524107,-1.5079516144025558,2.059901723233427
0.047,1.9099690096537552,-2.601264160115774,-1.536595479866437,2.2278906303284556
0.047,1.8881576121918444,-2.4660067171229376,-1.6381215989365479,2.215970703867641
0.047,1.9169658985837719,-2.5956320515279683,-1.536564057696719,2.2152302106409154
0.049,1.9194578250855752,-2.577327102880443,-1.5566843357704216,2.2145536135652897
0.05,1.9666961954710651,-2.5435158108531555,-1.7158040457852934,2.292623661167384
0.047,1.9061895299667517,-2.618087556732435,-1.4577817340815713,2.1696797608472544
