x,y
-2.106963,1.956207
-2.080543,1.951042
-2.059065,1.938059
-2.031368,1.931960
-2.001012,1.925871
-1.972056,1.920290
-1.940329,1.916752
-1.910941,1.910372
-1.882847,1.902546
-1.859247,1.890501
-1.836372,1.876477
-1.806230,1.868751
-1.772731,1.863529
-1.747873,1.851219
-1.718897,1.844157
-1.668302,1.824958
-1.627936,1.812675
-1.589858,1.801482
-1.556940,1.794775
-1.533736,1.786685
-1.492082,1.792988
-1.451654,1.797175
-1.407888,1.805593
-1.373786,1.809030
-1.336416,1.814577
-1.306442,1.820408
-1.268586,1.828998
-1.232619,1.835668
-1.190838,1.842531
-1.148295,1.854004
-1.113346,1.856975
-1.068248,1.868815
-1.031484,1.870727
-0.995101,1.879902
-0.952151,1.888942
-0.914385,1.900688
-0.871715,1.912266
-0.828960,1.924175
-0.785124,1.933943
-0.746247,1.944679
-0.703241,1.956046
-0.661706,1.970068
-0.615571,1.980502
-0.572563,1.985893
-0.525712,1.995802
-0.475715,2.007475
-0.423249,2.018282
-0.362770,2.029209
-0.304002,2.035804
-0.243884,2.052662
-0.187468,2.064397
-0.130485,2.073646
-0.069977,2.081403
-0.013396,2.084540
0.042869,2.088701
0.102244,2.094952
0.154686,2.098384
0.210874,2.097927
0.270654,2.097599
0.329259,2.098905
0.391520,2.096413
0.454381,2.094323
0.519247,2.087056
0.582557,2.075240
0.652540,2.065197
0.711424,2.056679
0.778129,2.047864
0.844099,2.039568
0.897689,2.033621
0.953975,2.023773
1.012674,2.014591
1.058950,2.005194
1.109384,1.996218
1.155552,1.987602
1.202474,1.981466
1.244614,1.973497
1.291076,1.963817
1.341582,1.952205
1.384195,1.943986
1.429386,1.930467
1.472899,1.923934
1.510242,1.919650
1.549421,1.909732
1.594447,1.904533
1.628903,1.896677
1.660748,1.892124
1.695956,1.881189
1.728494,1.876388
1.757456,1.869973
1.792489,1.863528
1.824300,1.858683
1.861491,1.852976
1.901282,1.846117
1.937194,1.840632
1.969714,1.837737
2.000924,1.838877
2.028429,1.832144
2.057515,1.826915
2.089328,1.823399
2.129097,1.815720
2.163075,1.813051
2.186333,1.823952
2.217108,1.819698
2.243597,1.821191
2.266131,1.823556
2.287007,1.821123
2.310243,1.816672
2.333917,1.821354
2.349386,1.826044
2.369210,1.828314
2.383302,1.828044
2.392257,1.830029
2.399813,1.832664
2.408892,1.837305
2.421278,1.831154
2.442879,1.828295
2.449802,1.830473
2.460437,1.830450
2.479791,1.815491
2.489897,1.805477
2.527020,1.791230
2.535161,1.781423
2.542092,1.769446
2.547221,1.759860
