dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3,dis
0.045,2.8255657508762253,-0.1943712053064995,-2.613249267046826,-0.0179452785228993,18.83
0.045,2.687610720478109,-0.0371472366376227,-2.7113199528027736,0.0608564689622876,18.86
0.049,2.75039239785188,-0.0993419882886235,-2.660644295854897,0.0095938862916411,18.88
0.047,2.7316078902348675,-0.0890790734272005,-2.610181365738528,-0.0323474510691392,18.92
0.053,2.7120776406961387,-0.1143213701380357,-2.5851067736634032,-0.0126494968946999,18.93
0.046,2.789662612602817,-0.0984174890849464,-2.7553307085682768,0.0640855850504066,18.97
0.046,2.784123267911557,-0.0153151036670257,-2.871487405861914,0.1026792416173828,19.01
0.045,2.813674126258809,-0.1353992947431474,-2.633837325069184,-0.0444375064464777,19.05
0.046,2.798698597260957,-0.0936273935853619,-2.728619720610356,0.023548516934761,19.1
0.053,2.8350761489371856,-0.2077443712334457,-2.7837166437668324,0.1563848660630928,19.13
0.047,2.832182176487368,-0.1961475875314218,-2.709504566936754,0.0734699779808077,19.17
0.043,2.789826201622836,-0.0146626511648484,-2.793913199720666,0.0187496492626786,19.17
0.051,2.858432087532881,-0.1511008613323049,-2.7501222452212155,0.0427910190206392,19.22
0.047,2.920909511930135,-0.2060392919428079,-2.814553229612073,0.099683009624746,19.26
0.052,2.8460498792060256,-0.2276931512423669,-2.74046876578309,0.1221120378194315,19.33
0.044,3.019379673397727,-0.2561573945467468,-2.734988942169438,-0.0282333366815422,19.34
0.048,2.889785556967982,-0.2021406726175334,-2.77589676533889,0.0882518809884418,19.4
0.046,2.958400403302361,-0.1765523654804837,-2.803867606149943,0.0220195683280655,19.4
0.055,2.9103648242658835,-0.1446475798704303,-2.871659606635287,0.1059423622398339,19.43
0.058,2.911920178658371,-0.1985384106344256,-2.695854185087996,-0.0175275829359497,19.45
0.046,2.9960164348347798,-0.1301871266654758,-2.8282494300999663,-0.0375798780693368,19.51
0.043,2.900746037573231,-0.2541304833896616,-2.6116343352676,-0.0349812189159696,19.53
0.046,2.982240289362621,-0.212983229657515,-2.77332578253149,0.0040687228263842,19.55
0.049,3.012592584375976,-0.2771675783354623,-2.7267953632120334,-0.0086296428284801,19.61
0.047,2.9750636782676807,-0.0912830109301529,-2.787008314420984,-0.0967723529165438,19.67
0.05,2.9735829776140665,-0.1596593659476409,-2.7900585609817323,-0.0238650506846932,19.7
0.046,2.9114462230705085,-0.1448248639185804,-2.8085166967834234,0.0418953376314956,19.75
0.046,3.0225931035427696,-0.2402320201353156,-2.750692518532911,-0.0316685648745427,19.78
0.045,2.956547203782941,-0.2223327569520909,-2.755532443842152,0.0213179970113015,19.82
0.049,2.9824410230017766,-0.2700223196046956,-2.828399567797328,0.1159808644002471,19.81
0.048,2.9718472618158565,-0.2038777707279525,-2.7220322850300205,-0.0459372060578832,19.84
0.046,3.0523667246881776,-0.0744654826937462,-2.8797342619017385,-0.0981669800926927,19.9
0.047,2.8625099256247197,-0.07494384951272,-2.634209249930663,-0.1533568261813357,19.91
0.053,2.968407035477605,-0.1526769718978706,-2.7359187836703933,-0.0798112799093407,19.93
0.042,3.0320547626040044,-0.1958126252332086,-2.7792069046371988,-0.0570352327335967,19.96
0.051,3.080038928571089,-0.2447531700894384,-2.720365482126009,-0.114920276355641,19.99
0.053,3.0955983236041806,-0.1121760599863792,-2.8834022945216367,-0.1000199690961647,20.06
0.045,3.107083130151571,-0.3019994103872126,-2.7040720089494625,-0.1010117108148961,20.11
0.047,3.0529905238701462,-0.1752067538248006,-2.9157078720502216,0.0379241020048762,20.16
0.045,2.991463178773458,-0.2369201925999556,-2.7199210600939847,-0.0346219260795171,20.16
0.051,2.991094602777054,-0.2231975125603893,-2.7229438390062715,-0.0449532512103932,20.21
0.044,3.062891056872456,-0.2283529307726451,-2.7456839558682207,-0.0888541702315899,20.22
0.053,3.132781244658586,-0.244213057989103,-2.880302387774831,-0.0082657988946517,20.26
0.044,-3.134422572185158,-0.266120468725422,-2.840928994549432,-0.0417132717195747,20.29
0.05,2.9361154829262683,-0.1641281643854332,-2.8025650771857573,0.0305777586449222,20.31
0.047,3.006578242789303,-0.1856527490379401,-2.7928099703822737,-0.0281155233690895,20.37
0.052,-3.1396336947741177,-0.2298448114577358,-2.811208333373764,-0.1024984675739693,20.43
0.043,3.017554661551816,-0.1714275578574478,-2.910063555403765,0.0639364517093968,20.4
0.05,3.027382060040462,-0.2289922450448932,-2.9002464299547888,0.1018566149592198,20.46
0.054,3.0999058173198333,-0.2166610638293578,-2.836750451222932,-0.0464943022675434,20.49
0.044,3.0753511857007507,-0.2935984009857855,-2.681732305376584,-0.1000204793383806,20.51
0.045,3.0128474023292777,-0.2080101749166762,-2.780875070983924,-0.0239621564286775,20.54
0.051,3.01072732460411,-0.0833061795990477,-2.922290312022409,-0.0051308329826532,20.58
0.046,3.019221646433724,-0.1674209459271923,-2.867187156207636,0.0153864557011047,20.56
0.047,-3.1396032217252747,-0.2257693079050909,-2.8463136302402687,-0.0714991473089523,20.64
0.047,3.1042607664915143,-0.2191321060814997,-2.802096749079303,-0.0830319113307111,20.66
0.053,2.968294204091648,-0.1726579802644457,-2.8008547865364704,0.0052185627092682,20.66
0.047,2.924087900850948,-0.1365822707873375,-2.705142717616752,-0.0823629124468583,20.67
0.047,3.133615342145373,-0.2875360888739401,-2.8395170542817625,-0.0065621989896707,20.68
0.05,3.0198269849154595,-0.1749776104107534,-2.667439596713048,-0.1774097777916579,20.7
0.045,-3.137929906674138,-0.1850774798555178,-2.8397147044601354,-0.1204632161897946,20.72
0.05,3.12407791050082,-0.1468149558975574,-2.808560174980469,-0.1687027796227931,20.74
0.046,2.897506327727485,-0.2412506553546055,-2.572549883404609,-0.0837057889682706,20.77
0.048,2.949146210101861,-0.0990888375975196,-2.755888234306434,-0.0941691381979079,20.74
0.047,2.96534207006805,-0.0887890274027427,-2.812443969868466,-0.064109072796841,20.72
0.058,3.0762247845054302,-0.2476138907353787,-2.889143163770541,0.0605322700004894,20.74
0.047,3.072573259547009,-0.2799116916375503,-2.6975874325037865,-0.0950741354056718,20.7
0.05,2.9813330660533666,-0.1560063143613244,-2.7320827111688284,-0.0932440405232135,20.7
0.06,2.972161728489368,-0.0836939274703052,-2.820004517624872,-0.0684632833941913,20.7
0.043,-3.112072605008169,-0.1663814939181369,-2.851530012701631,-0.1532011955516498,20.69
