dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3,dis
0.0,2.5747295412706457,-0.1413506256398765,-2.4370085155635524,0.003629599932783,2.48
0.047,2.571758864228174,-0.1804831040364885,-2.5244174751265795,0.1331417149348938,2.46
0.049,2.68771244684097,-0.273590523638768,-2.346934967704457,-0.0671869554977446,2.47
0.047,2.5479867579718696,-0.1652247715348227,-2.4440688795909677,0.0613068931539205,2.49
0.048,2.6477016096501145,-0.2050404629099786,-2.489554717727095,0.0468935709869592,2.3
0.047,2.6413012004655334,-0.2026609605958781,-2.5511838440222663,0.1125436041526109,2.31
0.049,2.582712864425172,-0.1822592746116422,-2.4776285433786773,0.0771749535651475,2.44
0.05,2.52368089025622,-0.2140315735041471,-2.442801023201948,0.1331517064498756,2.44
0.048,2.562788815339334,-0.2981320158588869,-2.3260605747118306,0.0614037752313833,2.32
0.047,2.5091545554156145,-0.2822853354505606,-2.332028007664517,0.1051587876994636,2.32
0.05,2.677011243454773,-0.390631648453088,-2.5542483757010688,0.2678687806993838,2.34
0.047,2.5419769366955727,-0.2503307737991487,-2.489051173640968,0.1974050107445436,2.34
0.049,2.596261724560037,-0.3849670153221879,-2.4208591417268845,0.2095644324890361,2.33
0.046,2.616769892665976,-0.4750200962522531,-2.506361412014599,0.3646116156008759,2.34
0.05,2.675559056149712,-0.6429533412480184,-2.2950238153743285,0.2624181004726358,2.35
0.048,2.68553310017612,-0.5794257415430469,-2.584362813906885,0.4782554552738124,2.39
0.049,2.6978921980026445,-0.6824793792855015,-2.3709344341250347,0.355521615407892,2.37
0.045,2.709806853579876,-0.7765114525828968,-2.49148912061447,0.558193719617491,2.38
0.048,2.642273622724762,-0.802242524039198,-2.5283231596131297,0.6882920609275659,2.4
0.049,2.693885580089792,-0.8553551654551597,-2.4162485748695457,0.5777181602349135,2.38
0.046,2.6924430704891056,-0.9671358261771976,-2.385803166118085,0.6604959218061774,2.42
0.05,2.666893194017641,-0.9523560454780724,-2.441704159372268,0.7271670108326987,2.45
0.046,2.7009256684079794,-1.1209431444285414,-2.346135061114819,0.7661525371353809,2.42
0.048,2.685069892352773,-1.2103445351543112,-2.329558318663291,0.8548329614648289,2.42
0.05,2.7238832139511557,-1.3110098117452025,-2.3577696437725493,0.9448962415665964,2.44
0.048,2.733913019236001,-1.444283384081761,-2.284311668387151,0.9946820332329106,2.47
0.049,2.8475617779270936,-1.513550957090328,-2.4203530455995748,1.086342224762809,2.49
0.048,2.7521344138687107,-1.6709628925477595,-2.181288829644765,1.1001173083238145,2.46
0.048,2.6714318034987734,-1.5112679137604552,-2.258125692187789,1.0979618024494708,2.44
0.047,2.769019717596742,-1.66423723661091,-2.2908770826174525,1.18609460163162,2.45
0.046,2.777222147588323,-1.7562086522560294,-2.193620963615334,1.17260746828304,2.49
0.049,2.755985789548331,-1.7743672431011746,-2.3032887030487355,1.321670156601579,2.5
0.049,2.7628554580788487,-1.7984520686419516,-2.2672081603798158,1.3028047709429185,2.51
0.047,2.793527840812229,-1.9383383002709984,-2.2335017439594,1.3783122034181696,2.5
0.047,2.708510066189276,-1.8028347657596469,-2.2211502957107045,1.3154749952810765,2.52
0.051,2.7715939471853925,-1.936523669274267,-2.2272914669583077,1.3922211890471818,2.54
0.048,2.7828318475298546,-1.8845410090602503,-2.2070500944828053,1.3087592560132013,2.55
0.047,2.834347836105263,-1.9201005287041424,-2.2672919370229465,1.3530446296218264,2.52
0.047,2.727124921412702,-1.8515677242501545,-2.206282996328312,1.3307257991657644,2.54
0.047,2.715359883489837,-1.890597162753489,-2.269164496967833,1.444401776231485,2.53
0.05,2.782353994506781,-2.0374235202514037,-2.269597799541639,1.5246673252862617,2.53
0.05,2.654703350707003,-1.9269918197316256,-2.2627174618457238,1.5350059308703463,2.55
0.045,2.702085068837722,-1.9095895844623223,-2.3448966397113264,1.5524011553359274,2.57
0.047,2.569901482457771,-2.0777512571812675,-2.157561775597405,1.6654115503209015,2.61
0.05,2.58694475973462,-2.0484545267984267,-2.1496851199104308,1.6111948869742378,2.66
0.052,2.6872069672058814,-2.163358740777873,-2.057880366519631,1.5340321400916226,2.66
0.074,2.6326913266027443,-1.925904858112145,-2.221987422514325,1.515200954023726,2.7
0.062,2.6915307480028026,-2.0223273282988914,-2.239065314612277,1.5698618949083665,2.67
0.022,2.5868506085070377,-2.093123027283496,-2.069749072287319,1.5760214910637775,2.71
0.028,2.714620090875833,-2.119594713181092,-2.1485630482446627,1.553537670549921,2.72
0.05,2.659991486815289,-2.073123628265433,-2.20354920077345,1.6166813422235935,2.74
0.049,2.586053053370149,-2.2504978150481136,-1.964514854053292,1.6289596157312571,2.74
0.047,2.600695587719513,-2.2855794291690765,-2.034255994364301,1.7191398358138643,2.79
0.047,2.615303194353612,-2.188907352849143,-2.1505562641473195,1.7241604226428513,2.78
0.046,2.6590612391393265,-2.198839976563905,-2.1605724475205217,1.7003511849451,2.8
0.051,2.6004375487399845,-2.263423556206379,-2.058299623444596,1.7212856309109907,2.81
0.046,2.6194307364934724,-2.2615016042227967,-2.081453613029429,1.7235244807587535,2.83
0.048,2.7101736842113557,-2.3431503561746294,-2.1673001607136904,1.800276832676964,2.81
0.051,2.5935570494215225,-2.4025892201039074,-1.9610281613741856,1.7700603320565709,2.85
0.047,2.635457831147737,-2.4149243599761543,-2.05318213827546,1.8326486671038775,2.88
0.046,2.5744154635655745,-2.319202514371417,-2.0520950179561943,1.7968820687620366,2.86
0.05,2.505372938392841,-2.4764262539072464,-1.915079083517771,1.886132399032176,2.88
0.049,2.5820274238079115,-2.453928465873916,-1.880187381421251,1.752088423487256,2.89
0.045,2.459681324008184,-2.3879719161914386,-1.9350916909266007,1.8633822831098552,2.9
0.047,2.5056693486411943,-2.440536684573232,-1.929407938340298,1.864275274272336,2.91
0.052,2.491844357162244,-2.5062938139342807,-1.8715569622511417,1.8860064190231784,2.93
0.046,2.475818404875616,-2.339204066248404,-2.01116030618449,1.8745459675572784,2.94
0.052,2.288989076258622,-2.4436078004497204,-1.843374771260312,1.9979934954514105,2.91
0.043,2.3823915753496494,-2.4375443278919597,-1.774349283501592,1.8295020360439016,2.96
0.05,2.30188867331059,-2.38710018924269,-1.883335457538644,1.9685469734707448,2.98
0.049,2.265076003072718,-2.5369157517190186,-1.803347645578284,2.075187394224584,2.98
0.044,2.4589480354297346,-2.4878948467624835,-1.99614221365565,2.025089024988399,3.02
0.05,2.3158088930154688,-2.5519355169279136,-1.8080658789068005,2.0441925028192456,3.04
0.05,2.1819024681851755,-2.584227141516485,-1.7021714030558657,2.1044960763871754,3.06
0.047,2.2496840793383046,-2.568216416223482,-1.6407392168795163,1.9592715537646936,3.09
0.046,2.2503537043246955,-2.5385998284212894,-1.700260555345818,1.988506679442412,3.1
0.052,2.2478834284849483,-2.498813115144572,-1.83359943743114,2.084529124090764,3.1
0.045,2.192976442502652,-2.4702540477940307,-1.815093129272493,2.092370734563872,3.11
