[2025-09-02 17:04:28.312] [info] topic=vd/scatter, payload={"xy": [12.78763447704946, 3.436580046792303], "xz": [12.78763447704946, 2.006250004374425]}
[2025-09-02 17:04:28.312] [info] topic=vd/scatter, payload={"xy": [12.792720246306855, 3.394235465483657], "xz": [12.792720246306855, 2.00626312872738]}
[2025-09-02 17:04:28.313] [info] topic=vd/scatter, payload={"xy": [12.795864329625063, 3.3420457548429505], "xz": [12.795864329625063, 2.006202170287226]}
[2025-09-02 17:04:28.313] [info] topic=vd/scatter, payload={"xy": [12.782530730959467, 3.34866819934213], "xz": [12.782530730959467, 2.0065101797437217]}
[2025-09-02 17:04:28.313] [info] topic=vd/scatter, payload={"xy": [12.767368124665786, 3.3599837928838894], "xz": [12.767368124665786, 2.0064700048784045]}
[2025-09-02 17:04:28.313] [info] topic=vd/scatter, payload={"xy": [12.747171306719054, 3.357649605762394], "xz": [12.747171306719054, 2.0063419564369167]}
[2025-09-02 17:04:28.314] [info] topic=vd/scatter, payload={"xy": [12.726089083963119, 3.3640637928087807], "xz": [12.726089083963119, 2.0064682224558097]}
[2025-09-02 17:04:28.314] [info] topic=vd/scatter, payload={"xy": [12.701353177974907, 3.374760604782359], "xz": [12.701353177974907, 2.0066598332725354]}
[2025-09-02 17:04:28.314] [info] topic=vd/scatter, payload={"xy": [12.682637825204639, 3.3590732091096815], "xz": [12.682637825204639, 2.006344155450603]}
[2025-09-02 17:04:28.314] [info] topic=vd/scatter, payload={"xy": [12.639945310791756, 3.4279896485710326], "xz": [12.639945310791756, 2.006825985077297]}
[2025-09-02 17:04:28.315] [info] topic=vd/scatter, payload={"xy": [12.607989614860273, 3.448696103435589], "xz": [12.607989614860273, 2.006836867164768]}
[2025-09-02 17:04:28.324] [info] topic=vd/scatter, payload={"xy": [12.588469668422496, 3.42565436969084], "xz": [12.588469668422496, 2.006638391762896]}
[2025-09-02 17:04:28.324] [info] topic=vd/scatter, payload={"xy": [12.567776108029665, 3.405180290054387], "xz": [12.567776108029665, 2.0067016059615437]}
[2025-09-02 17:04:28.324] [info] topic=vd/scatter, payload={"xy": [12.536927455442418, 3.412009562202426], "xz": [12.536927455442418, 2.006821319819997]}
[2025-09-02 17:04:28.324] [info] topic=vd/scatter, payload={"xy": [12.510032451842948, 3.403192109519815], "xz": [12.510032451842948, 2.006654745932052]}
