dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.046,-1.1712303674853717,3.0156559936129,1.094822613707466,-2.9392482398349946
0.048,-1.3533250469622375,2.9107609668710492,1.4090079893099003,-2.966443909218712
0.046,-1.2842791110900762,2.869860417257711,1.3093600976032413,-2.894941403770876
0.047,-1.3128417820175162,2.771009714527342,1.5380889277255978,-2.9962568602354236
0.047,-1.2401044383800552,2.792455374263854,1.3506164579997686,-2.9029673938835674
0.047,-1.2851297289333976,3.0399085667889607,1.2003229024426072,-2.9551017402981703
0.045,-1.168055019477656,2.970475297514634,1.118012516604897,-2.920432794641875
0.06,-1.00771578872098,2.8774196717630622,0.9955248515585565,-2.865228734600639
0.047,-1.0249223503399159,2.964385865555546,0.9683554609050707,-2.907818976120701
0.046,-1.1236506429935507,3.1126998055649167,1.0426100248186283,-3.031659187389994
0.046,-1.141402070390759,3.1220224532066156,0.9727186471915876,-2.9533390300074442
0.046,-1.1144683254168843,3.081081313323323,0.9137615474493871,-2.8803745353558257
0.048,-1.1184616303249584,3.0570365022464947,0.9977435921012411,-2.9363184640227775
0.046,-0.9514060392376025,3.029836559572918,0.8767021285440818,-2.955132648879397
0.047,-1.1016879944383624,2.939801857822907,1.1778291299230825,-3.0159429933076267
0.048,-0.9236741776967272,3.0577563446473794,0.9510753995756072,-3.0851575665262594
0.046,-0.8044378048273924,2.9620686578875577,1.0137668984578636,-3.1117875556615577
0.06,-0.9180227551862817,2.9975777480733465,1.063654588151045,-3.1399757261414765
0.045,-0.8941546499870017,3.0302225978368997,1.0538496099760462,-3.0932677493536422
0.046,-0.8954266859543053,2.8949568061758124,1.082309136559672,-3.081839256781179
0.045,-1.0481101553337475,2.8855556150518202,1.1247955724799275,-2.962241032198
0.048,-1.0798862533045364,2.9422556721420623,1.0978592731084684,-2.960228691945994
0.045,-0.9888751324393404,3.011247921822521,0.9938799248316056,-3.016252714214786
0.047,-0.9276247565381589,2.951875748914447,1.0016274430942929,-3.025878435470581
0.046,-0.7884257373810176,3.0538257409638248,0.7527323797922852,-3.0181323833750926
0.062,-0.7252852022010303,2.8871514416733666,0.9957815796603062,-3.125537488046944
0.046,-0.8099468035750924,2.7569198488709907,1.1900848398062978,-3.137057885102196
