[2025-09-02 18:51:24.780] [info] topic=vd/line/dis, payload={"dis": 20.66, "dis_est": 20.678724429572313}
[2025-09-02 18:51:24.833] [info] topic=vd/line/dis, payload={"dis": 20.66, "dis_est": 20.706937501653865}
[2025-09-02 18:51:24.880] [info] topic=vd/line/dis, payload={"dis": 20.67, "dis_est": 20.73001329853479}
[2025-09-02 18:51:24.927] [info] topic=vd/line/dis, payload={"dis": 20.68, "dis_est": 20.749287544294006}
[2025-09-02 18:51:24.976] [info] topic=vd/line/dis, payload={"dis": 20.7, "dis_est": 20.77063427533036}
[2025-09-02 18:51:25.022] [info] topic=vd/line/dis, payload={"dis": 20.72, "dis_est": 20.788704238123792}
[2025-09-02 18:51:25.072] [info] topic=vd/line/dis, payload={"dis": 20.74, "dis_est": 20.81023013437336}
[2025-09-02 18:51:25.118] [info] topic=vd/line/dis, payload={"dis": 20.77, "dis_est": 20.828097024816632}
[2025-09-02 18:51:25.166] [info] topic=vd/line/dis, payload={"dis": 20.74, "dis_est": 20.841973926810763}
[2025-09-02 18:51:25.213] [info] topic=vd/line/dis, payload={"dis": 20.72, "dis_est": 20.848785619906398}
[2025-09-02 18:51:25.269] [info] topic=vd/line/dis, payload={"dis": 20.74, "dis_est": 20.86032352526752}
[2025-09-02 18:51:25.317] [info] topic=vd/line/dis, payload={"dis": 20.7, "dis_est": 20.860283497566698}
[2025-09-02 18:51:25.368] [info] topic=vd/line/dis, payload={"dis": 20.7, "dis_est": 20.859126083918163}
[2025-09-02 18:51:25.417] [info] topic=vd/line/dis, payload={"dis": 20.7, "dis_est": 20.85621245025799}
[2025-09-02 18:51:25.458] [info] topic=vd/line/dis, payload={"dis": 20.69, "dis_est": 20.85089301364198}
[2025-09-02 18:51:25.503] [info] topic=vd/line/dis, payload={"dis": 20.66, "dis_est": 20.841224252802643}
[2025-09-02 18:51:25.554] [info] topic=vd/line/dis, payload={"dis": 20.68, "dis_est": 20.834966760519332}
[2025-09-02 18:51:25.599] [info] topic=vd/line/dis, payload={"dis": 20.68, "dis_est": 20.827081721506115}
[2025-09-02 18:51:25.655] [info] topic=vd/line/dis, payload={"dis": 20.64, "dis_est": 20.814917109934942}
[2025-09-02 18:51:25.693] [info] topic=vd/line/dis, payload={"dis": 20.62, "dis_est": 20.798045565120525}
[2025-09-02 18:51:25.748] [info] topic=vd/line/dis, payload={"dis": 20.59, "dis_est": 20.779985344361485}
[2025-09-02 18:51:25.787] [info] topic=vd/line/dis, payload={"dis": 20.6, "dis_est": 20.76216813890319}
[2025-09-02 18:51:25.834] [info] topic=vd/line/dis, payload={"dis": 20.59, "dis_est": 20.744858075290715}
[2025-09-02 18:51:25.883] [info] topic=vd/line/dis, payload={"dis": 20.57, "dis_est": 20.726096722716814}
[2025-09-02 18:51:25.931] [info] topic=vd/line/dis, payload={"dis": 20.55, "dis_est": 20.70567734415763}
[2025-09-02 18:51:25.985] [info] topic=vd/line/dis, payload={"dis": 20.51, "dis_est": 20.681281221128547}
[2025-09-02 18:51:26.030] [info] topic=vd/line/dis, payload={"dis": 20.51, "dis_est": 20.65824235898381}
[2025-09-02 18:51:26.081] [info] topic=vd/line/dis, payload={"dis": 20.48, "dis_est": 20.632792306683744}
[2025-09-02 18:51:26.127] [info] topic=vd/line/dis, payload={"dis": 20.49, "dis_est": 20.610987626333145}
[2025-09-02 18:51:26.178] [info] topic=vd/line/dis, payload={"dis": 20.44, "dis_est": 20.583820737295188}
[2025-09-02 18:51:26.224] [info] topic=vd/line/dis, payload={"dis": 20.46, "dis_est": 20.56208642314281}
[2025-09-02 18:51:26.270] [info] topic=vd/line/dis, payload={"dis": 20.4, "dis_est": 20.53465276079783}
[2025-09-02 18:51:26.321] [info] topic=vd/line/dis, payload={"dis": 20.39, "dis_est": 20.50747720484994}
[2025-09-02 18:51:26.364] [info] topic=vd/line/dis, payload={"dis": 20.39, "dis_est": 20.483921018910344}
[2025-09-02 18:51:26.416] [info] topic=vd/line/dis, payload={"dis": 20.41, "dis_est": 20.463743959431703}
[2025-09-02 18:51:26.462] [info] topic=vd/line/dis, payload={"dis": 20.42, "dis_est": 20.447930496203426}
[2025-09-02 18:51:26.512] [info] topic=vd/line/dis, payload={"dis": 20.37, "dis_est": 20.427557724252903}
[2025-09-02 18:51:26.564] [info] topic=vd/line/dis, payload={"dis": 20.35, "dis_est": 20.404673066269336}
[2025-09-02 18:51:26.606] [info] topic=vd/line/dis, payload={"dis": 20.37, "dis_est": 20.389918096946143}
[2025-09-02 18:51:26.655] [info] topic=vd/line/dis, payload={"dis": 20.33, "dis_est": 20.37002510508817}
[2025-09-02 18:51:26.703] [info] topic=vd/line/dis, payload={"dis": 20.33, "dis_est": 20.35298555904427}
[2025-09-02 18:51:26.750] [info] topic=vd/line/dis, payload={"dis": 20.33, "dis_est": 20.33810976352379}
[2025-09-02 18:51:26.798] [info] topic=vd/line/dis, payload={"dis": 20.27, "dis_est": 20.317006810893183}
[2025-09-02 18:51:26.847] [info] topic=vd/line/dis, payload={"dis": 20.29, "dis_est": 20.301003375293426}
[2025-09-02 18:51:26.898] [info] topic=vd/line/dis, payload={"dis": 20.28, "dis_est": 20.28554735820921}
[2025-09-02 18:51:26.944] [info] topic=vd/line/dis, payload={"dis": 20.22, "dis_est": 20.26504148442604}
[2025-09-02 18:51:26.997] [info] topic=vd/line/dis, payload={"dis": 20.28, "dis_est": 20.252716810705632}
[2025-09-02 18:51:27.041] [info] topic=vd/line/dis, payload={"dis": 20.28, "dis_est": 20.244448040680254}
[2025-09-02 18:51:27.087] [info] topic=vd/line/dis, payload={"dis": 20.29, "dis_est": 20.237864448689088}
[2025-09-02 18:51:27.137] [info] topic=vd/line/dis, payload={"dis": 20.29, "dis_est": 20.232607259268857}
[2025-09-02 18:51:27.182] [info] topic=vd/line/dis, payload={"dis": 20.26, "dis_est": 20.225924494939214}
[2025-09-02 18:51:27.231] [info] topic=vd/line/dis, payload={"dis": 20.25, "dis_est": 20.217732508060504}
[2025-09-02 18:51:27.278] [info] topic=vd/line/dis, payload={"dis": 20.22, "dis_est": 20.20792049780662}
[2025-09-02 18:51:27.327] [info] topic=vd/line/dis, payload={"dis": 20.22, "dis_est": 20.198937988919024}
[2025-09-02 18:51:27.379] [info] topic=vd/line/dis, payload={"dis": 20.28, "dis_est": 20.198795416337596}
[2025-09-02 18:51:27.430] [info] topic=vd/line/dis, payload={"dis": 20.26, "dis_est": 20.197254293050033}
[2025-09-02 18:51:27.473] [info] topic=vd/line/dis, payload={"dis": 20.22, "dis_est": 20.192733450745568}
[2025-09-02 18:51:27.518] [info] topic=vd/line/dis, payload={"dis": 20.21, "dis_est": 20.186712901613536}
[2025-09-02 18:51:27.567] [info] topic=vd/line/dis, payload={"dis": 20.22, "dis_est": 20.18286240725123}
[2025-09-02 18:51:27.615] [info] topic=vd/line/dis, payload={"dis": 20.19, "dis_est": 20.176511229963577}
[2025-09-02 18:51:27.667] [info] topic=vd/line/dis, payload={"dis": 20.18, "dis_est": 20.169532016464345}
